1	1	0.00686821
2	3	0.00782386
1	2	0.00805493
3	1	0.00794807
3	1	0.00743092
1	2	0.00778833
1	3	0.00775248
1	3	0.00724958
1	1	0.00799172
3	2	0.00632241
1	1	0.00625192
1	1	0.00718571
1	1	0.00735711
3	3	0.0076962
1	1	0.00639931
2	2	0.00614375
2	1	0.00795557
1	1	0.00853667
1	1	0.00752138
1	2	0.00709775
1	2	0.00746356
1	2	0.00771907
1	2	0.00693149
1	3	0.00719799
1	1	0.0101599
2	3	0.00638091
2	1	0.00664294
1	3	0.00634014
1	3	0.00672815
1	2	0.00624709
2	3	0.00831807
3	3	0.00939022
3	1	0.00684942
1	1	0.00651511
2	1	0.00833157
1	3	0.00679158
1	3	0.00745967
1	1	0.00638681
3	3	0.00686676
1	1	0.00877563
1	2	0.00719697
1	2	0.00668128
2	1	0.00710955
1	1	0.00710149
1	1	0.00757027
1	1	0.00722143
2	1	0.00561466
3	1	0.00757391
1	1	0.00751171
2	2	0.00794309
2	1	0.00761325
1	1	0.00774325
1	1	0.00589995
3	1	0.00735954
1	1	0.00663143
3	1	0.00703959
1	1	0.00840423
1	2	0.00770769
1	2	0.00701107
1	3	0.00680241
1	1	0.00710192
1	2	0.00656815
1	2	0.0078002
3	2	0.00738801
3	1	0.0074765
1	1	0.0083027
3	1	0.00647732
1	1	0.00720086
1	2	0.00863154
2	2	0.0069264
1	3	0.00800548
2	3	0.0069637
1	3	0.00752613
1	2	0.00621297
1	1	0.00837516
1	1	0.00900455
1	1	0.00651491
2	1	0.00758225
1	2	0.00691032
1	3	0.00692068
3	3	0.0081472
2	2	0.00943939
1	3	0.00664561
3	3	0.00586428
2	1	0.00801475
3	1	0.00639468
1	1	0.00705489
1	1	0.00944082
2	1	0.00635692
2	1	0.00794076
1	2	0.00632063
1	3	0.00741489
3	1	0.00789083
2	1	0.00630068
1	2	0.00706456
1	3	0.00713189
1	3	0.0079743
1	1	0.00724538
3	3	0.00693987
2	1	0.00630246
